Country name,Code,Continent,Happiness Index,Log GDP,Social support,Healthy life exp,Freedom,Generosity,Pct corruption,Suicide,Depression & Anxiety,Substance Abuse,Physician perpop,Average Age,Sleep (min),Gini index,Pct Poverty,Pct spent ed,Literacy rate,Tourist arrivals,Rev tourism,Security index,Unemployment rate,Blue Index
Iran,IRN,Asia,0.40155945419103306,0.6572668112798264,0.5192307692307692,0.6250000000000001,0.5357142857142857,0.6233766233766234,0.6962025316455696,0.08829691709069139,0.21620796996778957,0.09426332698834737,0.17898193760262723,0.46708463949843265,,,,0.7501432664756448,,0.05597888111404429,0.0183518335930791,0.7222222222222222,0.43679458239277646,0.13292273801560944
Iraq,IRQ,Asia,0.3508771929824561,0.6160520607375272,0.4999999999999999,0.4131944444444444,0.35714285714285715,0.33766233766233766,0.759493670886076,0.018856629751571395,0.5133978572697568,0.47308920244533736,0.13136288998357962,0.14420062695924765,,,,,0.7244125072829674,,0.011700486625743457,1.0,0.47140707298720835,0.3351145631555552
Ireland,IRL,Europe,0.8576998050682261,0.9262472885032538,0.9615384615384615,0.8506944444444445,0.8571428571428571,0.6623376623376623,0.22784810126582283,0.19335528284944628,0.6418052540919659,0.4338812178344462,0.5336617405582923,0.670846394984326,,,,,,0.1190473445767577,0.05676505200216278,0.12222222222222223,0.23401053423626786,0.42301391825861945
Israel,ISR,Asia,0.9103313840155945,0.7765726681127983,0.9230769230769231,0.8819444444444442,0.6071428571428571,0.5714285714285714,0.7974683544303798,0.09577970667464829,0.46644549323734563,0.3766152017806246,0.5648604269293924,0.45454545454545453,0.4444444444444444,,,,,0.041523049788465306,0.03006424732037785,0.6555555555555556,0.14033107599699018,0.31294680056420615
Italy,ITA,Europe,0.6900584795321638,0.7895878524945772,0.9230769230769231,0.8923611111111113,0.35714285714285715,0.33766233766233766,0.8987341772151899,0.12870398084405868,0.1964858142606654,0.2581956068525848,0.6469622331691297,0.9435736677115988,0.6419753086419753,,,,,0.6714007400832306,0.18567714131229923,0.3888888888888889,0.4033107599699022,0.19446180065243626
Japan,JPN,Asia,0.6335282651072125,0.8112798264642084,0.8461538461538461,0.9444444444444446,0.7499999999999999,0.10389610389610388,0.6329113924050633,0.5863513917988625,0.29738299565119997,0.31680111994037724,,1.0,0.0,,,,,0.33061662074769155,0.14694984256225946,0.06666666666666668,0.08690744920993226,0.4001785024634799
Jordan,JOR,Asia,0.41910331384015587,0.475054229934924,0.7115384615384616,0.6562499999999998,0.6071428571428571,0.1818181818181818,,0.0,0.4900510578475371,0.1858929812369701,0.37438423645320196,0.2225705329153605,,,,0.2934097421203439,,0.04418596608528249,0.021997550968480648,0.5222222222222223,0.5500376222723852,0.22531467969483573
Kazakhstan,KAZ,Asia,0.6276803118908382,0.7071583514099784,0.9038461538461539,0.5659722222222222,0.5714285714285714,0.3246753246753246,0.759493670886076,0.627057767135588,0.177852789643213,0.22288022076522543,,0.4764890282131662,,0.07526881720430113,0.0014792899408284039,0.25616045845272206,,0.08864859879880573,0.009303139213129353,0.4666666666666667,0.16591422121896163,0.3425969258480088
Kenya,KEN,Europe,0.354775828460039,0.2516268980477224,0.5192307692307692,0.40972222222222215,0.7499999999999999,0.7012987012987013,0.8734177215189873,0.10386111942532175,0.6249217911185606,0.26576426866483366,,0.1347962382445141,,,,0.6166189111747852,,0.01559708116707206,0.006154384402531726,0.8111111111111112,0.08276899924755456,0.33151572640290533
Kosovo,KXK,Africa,0.6803118908382066,0.5119305856832971,0.6730769230769231,,0.7678571428571428,0.5324675324675324,0.9746835443037976,,,,,0.4294670846394985,,,,,,,,,,
